Date,Open,High,Low,Close,Adj Close,Volume
2023-06-04,2245652.750000,2251021.000000,2221292.250000,2230943.250000,2230943.250000,690958556740
2023-06-05,2230942.750000,2258453.250000,2222134.500000,2234883.500000,2234883.500000,771433167935
2023-06-06,2235216.500000,2235783.250000,2099526.000000,2125513.500000,2125513.500000,1775101683420
2023-06-07,2123204.000000,2253886.000000,2100692.250000,2247699.750000,2247699.750000,1809600373193
2023-06-08,2247441.000000,2255417.750000,2160310.000000,2176662.750000,2176662.750000,1613540002442
2023-06-09,2176799.500000,2211380.000000,2167331.250000,2186624.250000,2186624.250000,982011682216
2023-06-10,2186435.250000,2207332.000000,2172572.000000,2182638.250000,2182638.250000,907954090062
2023-06-11,2182752.750000,2186814.750000,2101976.000000,2130775.500000,2130775.500000,1638016581631
2023-06-12,2131005.750000,2159805.500000,2115753.250000,2138638.500000,2138638.500000,884850567536
2023-06-13,2138153.500000,2150622.500000,2117216.500000,2132746.000000,2132746.000000,961527753834
2023-06-14,2132782.250000,2169690.500000,2116589.000000,2132866.250000,2132866.250000,1163874223669
2023-06-15,2132992.250000,2143097.000000,2043257.750000,2061355.375000,2061355.375000,1170431570178
2023-06-16,2061109.125000,2107927.750000,2038116.250000,2095035.500000,2095035.500000,1297285388519
2023-06-17,2094944.500000,2167410.500000,2068110.250000,2156397.000000,2156397.000000,1337098777834
2023-06-18,2156496.500000,2192594.000000,2143867.500000,2171403.250000,2171403.250000,908368533404
2023-06-19,2171385.500000,2184938.250000,2156486.500000,2157332.250000,2157332.250000,783574394747
2023-06-20,2157269.000000,2210431.000000,2155422.000000,2201356.000000,2201356.000000,1051608254132
2023-06-21,2200588.250000,2327667.000000,2187826.250000,2322626.000000,2322626.000000,1821193644565
2023-06-22,2321299.500000,2519157.250000,2319012.000000,2460489.250000,2460489.250000,2732492084848
2023-06-23,2457919.500000,2498892.500000,2431480.000000,2450400.500000,2450400.500000,1691897489575
2023-06-24,2449098.000000,2574068.000000,2447115.250000,2515733.250000,2515733.250000,1976459069882
2023-06-25,2516820.750000,2524640.250000,2482513.750000,2504550.500000,2504550.500000,995945507720
2023-06-26,2504260.000000,2544105.500000,2485641.750000,2498925.750000,2498925.750000,1041494166003
2023-06-27,2498947.250000,2512690.500000,2456390.500000,2482433.750000,2482433.750000,1352550898012
2023-06-28,2482695.500000,2542172.250000,2479609.250000,2516385.250000,2516385.250000,1347140217448
2023-06-29,2517073.750000,2517624.750000,2454207.250000,2467877.000000,2467877.000000,1195252851560
2023-06-30,2467872.000000,2528182.000000,2465500.750000,2498822.250000,2498822.250000,1081827785351
2023-07-01,2498494.000000,2564485.250000,2428789.750000,2502068.000000,2502068.000000,2166298833583
2023-07-02,2501624.250000,2515535.000000,2489886.000000,2511330.750000,2511330.750000,745976319831
2023-07-03,2511100.000000,2525792.500000,2484570.250000,2513859.500000,2513859.500000,864757270424
2023-07-04,2514167.000000,2571015.000000,2506765.250000,2553281.250000,2553281.250000,1251536325783
2023-07-05,2553316.000000,2565941.000000,2514266.500000,2523987.750000,2523987.750000,1050582039388
2023-07-06,2524081.500000,2534000.500000,2485292.750000,2514194.750000,2514194.750000,1028415129706
2023-07-07,2513616.750000,2596357.500000,2474043.750000,2475555.500000,2475555.500000,1748836910909
2023-07-08,2475444.500000,2514002.000000,2464622.500000,2508088.500000,2508088.500000,1106383762527
2023-07-09,2508473.500000,2509398.750000,2486122.250000,2503675.500000,2503675.500000,620649398564
2023-07-10,2503598.500000,2514837.250000,2485699.250000,2492613.000000,2492613.000000,652937732514
2023-07-11,2492711.250000,2559884.500000,2477258.500000,2509971.000000,2509971.000000,1223706086409
2023-07-12,2510232.000000,2536795.500000,2502935.750000,2523171.000000,2523171.000000,1001313381044
2023-07-13,2523277.750000,2547416.500000,2479109.000000,2492177.500000,2492177.500000,1214094552023
2023-07-14,2491836.500000,2608688.250000,2482898.000000,2582013.500000,2582013.500000,1942994046724
2023-07-15,2581904.500000,2588186.500000,2460537.000000,2491450.750000,2491450.750000,1718065787582
2023-07-16,2491263.000000,2497505.000000,2485651.750000,2487778.000000,2487778.000000,657888112358
2023-07-17,2487914.750000,2499418.250000,2470851.000000,2482759.500000,2482759.500000,699014453743
2023-07-18,2482800.000000,2492192.750000,2435727.500000,2473619.500000,2473619.500000,1086420357890
2023-07-19,2473716.500000,2480161.750000,2425407.750000,2450495.250000,2450495.250000,1078382876704
2023-07-20,2450945.500000,2478136.250000,2444805.750000,2454795.000000,2454795.000000,995296821761
2023-07-21,2454903.750000,2477323.000000,2432119.500000,2445413.500000,2445413.500000,1202941065207
2023-07-22,2446488.250000,2463968.500000,2440645.000000,2452608.250000,2452608.250000,899802232061
2023-07-23,2452604.250000,2459027.500000,2432578.000000,2441408.500000,2441408.500000,645642535864
2023-07-24,2442909.750000,2487235.250000,2438925.750000,2467054.000000,2467054.000000,756089235678
2023-07-25,2466818.000000,2467780.250000,2367257.750000,2387096.250000,2387096.250000,1259601856691
2023-07-26,2387264.250000,2402763.000000,2377567.500000,2395233.000000,2395233.000000,841379032138
2023-07-27,2395099.500000,2433584.000000,2383643.250000,2406395.750000,2406395.750000,1106472139043
2023-07-28,2406299.500000,2422329.000000,2392198.000000,2406234.750000,2406234.750000,887244488991
2023-07-29,2406356.250000,2427985.000000,2396892.250000,2411990.250000,2411990.250000,922904108684
2023-07-30,2412006.750000,2418374.000000,2407459.000000,2415089.500000,2415089.500000,533232697821
2023-07-31,2415104.000000,2422185.000000,2390622.000000,2407983.250000,2407983.250000,713829319388
2023-08-01,2408230.500000,2425640.750000,2395433.000000,2403953.000000,2403953.000000,958681166920
2023-08-02,2404015.750000,2442367.750000,2359582.750000,2442367.750000,2442367.750000,1503851716001
2023-08-03,2444706.250000,2469571.000000,2395164.500000,2411845.000000,2411845.000000,1589531202589
2023-08-04,2412660.250000,2432558.250000,2396513.250000,2415543.750000,2415543.750000,1058016100903
2023-08-05,2415188.000000,2423047.250000,2390131.500000,2403748.500000,2403748.500000,995149071432
2023-08-06,2403855.750000,2406094.250000,2394133.750000,2401105.750000,2401105.750000,545530825516
2023-08-07,2401236.000000,2411231.750000,2394632.750000,2401632.250000,2401632.250000,601180665935
2023-08-08,2401355.750000,2422428.250000,2377770.000000,2416109.750000,2416109.750000,1127564263350
2023-08-09,2416063.250000,2502261.500000,2412217.750000,2466145.500000,2466145.500000,1455764934852
2023-08-10,2466245.250000,2493080.250000,2434715.500000,2449659.000000,2449659.000000,1523047531922
2023-08-11,2449864.500000,2452938.750000,2429630.750000,2436774.500000,2436774.500000,982452233378
2023-08-12,2436386.000000,2446137.750000,2425191.250000,2438759.500000,2438759.500000,845765155916
2023-08-13,2438931.250000,2444350.750000,2435430.750000,2440273.500000,2440273.500000,513868144710
2023-08-14,2440325.500000,2442386.250000,2427796.500000,2427481.500000,2427481.500000,607630459309
2023-08-15,2427510.500000,2465922.250000,2414991.500000,2449196.750000,2449196.750000,1167089973680
2023-08-16,2449164.000000,2449214.000000,2424803.000000,2426988.500000,2426988.500000,1051671076600
2023-08-17,2426882.500000,2439817.500000,2389057.000000,2389057.000000,2389057.000000,1244336133309
2023-08-18,2388892.500000,2389350.000000,2111384.000000,2215785.500000,2215785.500000,2586097548194
2023-08-19,2213419.500000,2227727.500000,2135256.500000,2166203.000000,2166203.000000,1997949751072
2023-08-20,2166059.750000,2182825.500000,2145650.750000,2170082.000000,2170082.000000,884078973081
2023-08-21,2170136.750000,2183759.500000,2162440.750000,2178123.500000,2178123.500000,751550262925
2023-08-22,2178049.250000,2179466.500000,2147849.000000,2171275.250000,2171275.250000,1111360252939
2023-08-23,2171824.250000,2172225.250000,2120275.750000,2162450.750000,2162450.750000,1204833009746
2023-08-24,2163183.250000,2211701.500000,2133450.250000,2181798.500000,2181798.500000,1402047999909
2023-08-25,2181788.500000,2191085.750000,2140320.250000,2162101.750000,2162101.750000,1063724695896
2023-08-26,2162209.750000,2167596.000000,2132338.750000,2150189.750000,2150189.750000,1024097400714
2023-08-27,2150153.750000,2155119.000000,2144923.750000,2146953.250000,2146953.250000,498163650775
2023-08-28,2146935.000000,2159906.000000,2143373.500000,2156692.750000,2156692.750000,571523571051
2023-08-29,2156686.250000,2164681.500000,2138426.000000,2158768.500000,2158768.500000,909843436690
2023-08-30,2158465.500000,2320453.000000,2143606.750000,2287528.000000,2287528.000000,2422911581903
2023-08-31,2287420.000000,2292032.750000,2236411.750000,2257501.500000,2257501.500000,1351630813276
2023-09-01,2257887.250000,2272006.250000,2128725.500000,2144083.000000,2144083.000000,1668618740181
2023-09-02,2144293.750000,2160187.750000,2096747.125000,2134335.250000,2134335.250000,1423086993981
